unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.086,-0.215,-0.1,0.001,-0.121,-0.031,filter_188
0.046,0.062,0.006,-0.002,0.03,0.05,filter_189
-0.045,0.052,-0.057,-0.018,-0.031,0.019,filter_190
-0.037,0.177,-0.042,0.017,-0.157,0.038,filter_191
-0.065,0.065,-0.094,-0.037,-0.121,0.0,filter_192
-0.098,0.052,-0.085,0.016,-0.152,0.019,filter_193
0.079,0.252,0.048,0.034,-0.05,0.079,filter_194
0.031,0.191,-0.018,0.014,-0.039,0.051,filter_195
0.072,-0.001,0.014,0.023,-0.069,0.023,filter_196
0.014,-0.029,-0.005,0.028,-0.043,0.073,filter_197
0.02,0.075,-0.022,-0.003,-0.104,0.058,filter_198
-0.06,0.184,-0.081,0.0,-0.169,0.089,filter_199
0.045,0.067,0.042,0.01,0.095,0.059,filter_200
0.089,0.181,0.041,-0.018,-0.077,0.078,filter_201
0.006,-0.121,0.007,-0.015,0.14,-0.042,filter_202
-0.012,-0.083,0.008,0.011,0.132,-0.007,filter_203
-0.102,0.028,-0.13,0.0,-0.08,0.051,filter_204
-0.02,-0.108,-0.028,-0.011,0.076,0.014,filter_205
0.023,-0.027,-0.009,-0.016,-0.021,-0.018,filter_206
-0.003,0.185,-0.026,-0.027,0.017,0.051,filter_207
-0.044,-0.265,-0.087,-0.015,-0.034,-0.077,filter_208
-0.033,0.083,-0.061,0.032,-0.131,0.033,filter_209
0.037,0.0,-0.002,-0.026,0.019,-0.036,filter_210
-0.066,-0.056,-0.097,-0.024,0.017,0.017,filter_211
-0.005,0.036,0.008,-0.004,0.065,0.04,filter_212
0.033,-0.073,-0.031,-0.027,-0.073,-0.058,filter_213
0.001,0.109,-0.019,-0.01,-0.1,0.039,filter_214
-0.045,-0.056,-0.07,-0.015,0.099,-0.003,filter_215
0.069,0.229,0.021,-0.003,0.058,0.056,filter_216
0.1,0.232,0.059,0.008,-0.082,0.067,filter_217
0.077,0.144,0.048,0.05,-0.009,0.081,filter_218
-0.221,-0.324,-0.226,-0.047,0.012,-0.085,filter_219
0.084,0.211,0.062,0.036,0.072,0.073,filter_220
0.005,-0.134,-0.016,-0.045,-0.046,-0.053,filter_221
0.049,0.139,0.013,0.003,0.054,0.016,filter_222
-0.047,0.208,-0.062,-0.03,-0.115,0.068,filter_223
-0.409,-0.405,-0.413,-0.092,-0.089,-0.102,filter_224
0.026,0.162,-0.016,0.045,0.023,0.079,filter_225
0.006,0.169,-0.035,-0.025,0.043,0.025,filter_226
-0.155,-0.101,-0.175,-0.035,-0.178,-0.036,filter_227
0.065,0.193,0.033,-0.026,-0.096,0.026,filter_228
0.013,-0.066,-0.014,-0.017,0.055,-0.016,filter_229
0.042,0.03,-0.001,0.001,-0.045,0.039,filter_230
-0.417,-0.221,-0.398,-0.105,-0.095,-0.066,filter_231
-0.579,-0.443,-0.531,-0.148,-0.173,-0.146,filter_232
-0.019,-0.164,-0.009,-0.038,0.086,-0.07,filter_233
-0.096,-0.133,-0.091,-0.026,-0.115,-0.012,filter_234
-0.458,-0.272,-0.444,-0.104,-0.064,-0.057,filter_235
-0.37,-0.337,-0.356,-0.102,-0.023,-0.111,filter_236
0.063,0.017,0.042,-0.012,0.02,0.028,filter_237
0.059,-0.003,0.015,0.049,-0.095,0.021,filter_238
0.005,0.199,-0.008,0.022,-0.076,0.128,filter_239
0.002,0.06,-0.005,-0.018,-0.016,0.012,filter_240
-0.116,-0.174,-0.155,-0.021,-0.056,-0.026,filter_241
0.029,0.077,-0.03,0.015,-0.208,0.063,filter_242
0.029,0.06,0.03,0.005,0.122,0.024,filter_243
0.073,0.278,0.029,0.025,-0.025,0.096,filter_244
-0.067,0.12,-0.057,-0.032,0.086,0.018,filter_245
0.067,0.209,0.049,0.016,0.042,0.113,filter_246
0.095,0.143,0.052,0.057,-0.023,0.129,filter_247
-0.123,-0.028,-0.14,-0.06,-0.007,0.035,filter_248
-0.115,-0.273,-0.123,-0.069,-0.031,-0.088,filter_249
0.07,0.226,0.05,0.01,-0.096,0.064,filter_250
0.056,0.194,0.046,-0.017,0.092,0.096,filter_251
0.001,0.206,-0.011,0.007,0.041,0.069,filter_252
-0.258,-0.234,-0.262,-0.083,-0.076,-0.09,filter_253
-0.01,-0.23,-0.045,-0.073,0.075,-0.117,filter_254
-0.029,-0.063,-0.059,-0.024,-0.033,-0.022,filter_255
