Andrev2015,pc3,muscle,human,vleng,channel_name
-0.011,-0.059,-0.028,-0.195,-0.014,filter_357
-0.006,0.013,0.057,-0.053,0.006,filter_358
-0.015,-0.039,-0.111,-0.271,-0.016,filter_359
-0.023,0.004,0.002,0.005,-0.106,filter_360
0.062,0.1,-0.106,0.223,0.026,filter_361
-0.052,-0.033,-0.079,-0.038,-0.193,filter_362
-0.025,-0.002,0.03,-0.066,-0.025,filter_363
0.029,-0.004,-0.091,-0.089,0.018,filter_364
-0.021,-0.047,-0.043,-0.124,0.008,filter_365
0.037,0.021,0.009,0.013,0.017,filter_366
0.029,0.034,-0.02,-0.024,-0.002,filter_367
-0.056,-0.042,-0.046,-0.166,-0.217,filter_368
-0.043,-0.052,-0.104,-0.174,-0.088,filter_369
-0.037,-0.033,-0.075,-0.176,-0.206,filter_370
-0.033,-0.073,-0.03,-0.296,-0.155,filter_371
-0.072,-0.114,-0.045,-0.327,-0.213,filter_372
-0.101,-0.13,-0.176,-0.334,-0.412,filter_373
0.002,0.02,-0.109,-0.076,-0.014,filter_374
-0.035,-0.098,-0.027,-0.286,-0.121,filter_375
-0.042,-0.002,0.002,-0.128,-0.174,filter_376
0.011,0.048,-0.007,0.039,0.059,filter_377
-0.013,0.04,-0.049,0.139,-0.108,filter_378
0.057,0.059,-0.096,-0.075,0.047,filter_379
-0.057,-0.08,0.063,-0.227,-0.038,filter_380
-0.009,-0.027,0.004,-0.026,0.061,filter_381
0.036,0.021,-0.111,0.064,-0.034,filter_382
-0.045,-0.063,-0.075,-0.155,-0.107,filter_383
-0.0,0.037,-0.086,0.088,-0.092,filter_384
-0.025,-0.02,-0.104,-0.082,0.002,filter_385
-0.008,0.016,-0.152,0.16,0.013,filter_386
-0.009,0.059,-0.008,0.162,0.042,filter_387
-0.066,-0.075,-0.06,-0.226,-0.162,filter_388
-0.019,-0.005,-0.017,-0.13,-0.156,filter_389
0.058,0.096,-0.13,0.201,-0.013,filter_390
-0.037,-0.028,-0.088,0.045,-0.022,filter_391
0.003,0.008,-0.119,0.038,0.058,filter_392
-0.061,0.014,-0.053,0.029,-0.095,filter_393
-0.021,-0.046,0.041,-0.231,0.029,filter_394
-0.035,0.021,-0.048,0.12,-0.023,filter_395
0.013,0.051,0.009,0.221,0.046,filter_396
-0.002,0.001,0.09,-0.058,0.004,filter_397
-0.007,0.028,-0.127,0.036,-0.089,filter_398
-0.077,-0.062,-0.071,-0.293,-0.154,filter_399
-0.03,0.01,-0.14,-0.012,-0.08,filter_400
-0.027,-0.099,-0.061,-0.172,-0.04,filter_401
-0.061,-0.031,-0.115,-0.116,-0.207,filter_402
-0.011,0.025,-0.097,0.004,-0.095,filter_403
0.026,0.061,-0.022,0.156,-0.021,filter_404
-0.05,-0.015,-0.125,-0.063,-0.133,filter_405
-0.045,-0.026,-0.04,-0.076,-0.212,filter_406
-0.005,-0.022,-0.102,-0.097,-0.017,filter_407
-0.047,-0.043,-0.027,-0.236,-0.105,filter_408
-0.015,0.043,-0.024,0.08,-0.145,filter_409
-0.006,0.021,-0.069,-0.038,-0.088,filter_410
-0.026,0.05,-0.111,0.176,-0.114,filter_411
-0.074,-0.109,-0.085,-0.441,-0.29,filter_412
-0.022,0.005,-0.171,0.052,-0.194,filter_413
-0.007,0.099,-0.034,0.342,0.068,filter_414
-0.04,-0.003,-0.06,-0.051,-0.243,filter_415
-0.093,-0.103,-0.14,-0.341,-0.411,filter_416
0.021,-0.027,-0.125,-0.121,0.018,filter_417
-0.053,-0.111,-0.12,-0.186,-0.157,filter_418
0.028,0.021,-0.12,0.168,-0.033,filter_419
-0.01,-0.047,-0.156,-0.095,-0.092,filter_420
-0.0,0.01,0.07,-0.146,0.017,filter_421
0.006,0.004,-0.172,0.012,-0.101,filter_422
-0.038,-0.008,-0.052,-0.028,-0.221,filter_423
-0.012,0.024,0.011,-0.01,-0.105,filter_424
0.018,-0.046,-0.043,-0.074,-0.015,filter_425
-0.075,-0.055,-0.083,-0.166,-0.252,filter_426
-0.03,-0.011,-0.085,-0.048,-0.07,filter_427
0.0,0.016,-0.185,0.163,-0.015,filter_428
-0.01,0.039,-0.199,0.135,-0.021,filter_429
0.031,-0.021,-0.087,-0.167,0.007,filter_430
0.048,0.044,-0.144,0.154,0.02,filter_431
0.008,-0.031,-0.106,-0.168,-0.047,filter_432
-0.007,0.006,0.158,-0.046,0.026,filter_433
-0.042,-0.048,-0.015,-0.21,-0.109,filter_434
-0.001,-0.032,-0.063,-0.055,0.026,filter_435
-0.083,-0.142,-0.064,-0.316,-0.171,filter_436
-0.031,0.012,-0.014,0.009,-0.134,filter_437
-0.003,-0.03,-0.111,-0.166,0.032,filter_438
-0.055,-0.022,0.017,-0.036,-0.043,filter_439
0.008,0.085,-0.021,0.219,-0.01,filter_440
-0.012,0.002,-0.02,-0.03,-0.051,filter_441
-0.006,-0.025,-0.017,-0.152,-0.054,filter_442
-0.045,-0.026,-0.036,-0.015,-0.167,filter_443
0.022,0.031,0.052,0.031,-0.022,filter_444
-0.034,-0.013,-0.185,-0.073,-0.131,filter_445
-0.028,-0.021,-0.096,0.013,-0.088,filter_446
-0.12,-0.145,-0.151,-0.427,-0.364,filter_447
-0.054,-0.047,-0.035,-0.227,-0.269,filter_448
-0.061,-0.072,-0.015,-0.28,-0.309,filter_449
-0.004,-0.022,0.071,-0.182,-0.108,filter_450
