,TSNE-1,TSNE-2,task_source
528,-45.11183,5.2945127,human
529,-53.78015,6.918334,human
530,-41.32339,14.281266,human
531,-26.059002,15.07943,human
532,-48.154495,-5.792583,human
533,-36.555077,2.842964,human
534,-41.84016,3.4205816,human
535,-51.71385,14.6888685,human
536,-38.019344,7.328564,human
537,-50.85488,12.215215,human
538,-33.16869,11.980175,human
539,-22.810549,21.549265,human
540,-51.47875,13.302897,human
541,-33.79591,-0.9253627,human
542,-48.995834,9.718063,human
543,-58.229626,16.332829,human
544,-15.527817,24.721155,human
545,-34.459557,28.030073,human
546,-32.21344,14.059311,human
547,-46.692688,-0.79577553,human
548,-34.717094,15.2499275,human
549,-49.03338,-6.970259,human
550,-37.369125,5.781991,human
551,-33.575653,10.30659,human
552,-45.416935,-0.99970776,human
553,-34.806072,27.485384,human
554,-23.850433,17.665606,human
555,-58.230484,2.6962965,human
556,-43.05921,-0.11836431,human
557,-54.68463,4.22128,human
558,-34.415874,-1.2828853,human
559,-50.55943,11.869806,human
560,-47.5368,9.684567,human
561,-39.143913,16.445463,human
562,-43.430275,-1.6914649,human
563,-45.120045,-2.1669002,human
564,-25.111345,19.181923,human
565,-46.628323,-3.9560485,human
566,-41.440613,7.1015635,human
567,-57.94133,9.761225,human
568,-46.046146,10.991087,human
569,-33.440823,10.472489,human
570,-48.553997,-7.791682,human
571,-46.27796,-14.354113,human
572,-41.15491,5.743915,human
573,-51.78853,-3.9724543,human
574,-36.634834,13.488812,human
575,-49.852665,17.421942,human
576,-45.931915,1.0323339,human
577,-34.868645,24.129005,human
578,-58.75735,-0.17586204,human
579,-49.66107,8.983132,human
580,-26.925344,21.308216,human
581,-42.625877,-4.6149583,human
582,-39.104645,2.4346824,human
583,-52.99742,-13.494296,human
584,-46.53805,-4.280684,human
585,-57.406075,6.926636,human
586,-41.802486,3.6187863,human
587,-34.13854,22.865463,human
588,-33.409485,12.4920225,human
589,-31.955624,26.664354,human
590,-42.37298,-4.5346923,human
591,-31.247654,5.3687067,human
592,-50.68223,-11.965709,human
593,-48.493057,1.4030697,human
594,-51.43367,-13.878722,human
595,-47.38693,23.85038,human
596,-48.671253,-13.59609,human
597,-50.07828,-6.3849354,human
598,-42.251194,11.323482,human
599,-30.881487,14.1474495,human
600,-30.88437,10.412556,human
601,-33.395515,-0.028949466,human
602,-40.43246,8.757804,human
603,-39.851227,2.303648,human
604,-39.70562,-1.1921324,human
605,-51.850193,16.96936,human
606,-48.653397,-7.7070394,human
607,-53.726856,-15.962537,human
608,-36.591187,4.9849825,human
609,-29.659492,14.691774,human
610,-23.1278,21.869093,human
611,-47.12801,11.656861,human
612,-27.394947,15.150198,human
613,-51.89491,-10.063887,human
614,-50.05529,-10.136941,human
615,-59.212864,11.16054,human
616,-50.54191,-15.023311,human
617,-36.899338,9.760876,human
618,-43.93446,-1.008882,human
619,-37.395508,13.448091,human
620,-38.93839,2.4373074,human
621,-42.03794,-2.4184,human
622,-53.434967,7.2099504,human
623,-37.36751,6.9145613,human
624,-34.849796,4.4745135,human
625,-44.38989,-5.049129,human
626,-28.339743,7.1222515,human
627,-58.86683,-0.32457966,human
628,-53.287537,12.146078,human
629,-36.406673,-3.687064,human
630,-41.05659,3.9312668,human
631,-44.234596,7.68291,human
632,-34.943058,1.0463527,human
633,-55.13926,-0.29764876,human
634,-23.748032,20.350634,human
635,-40.941704,10.923514,human
636,-25.706144,22.095722,human
637,-57.316032,3.066508,human
638,-43.30003,7.514777,human
639,-33.64488,10.157327,human
640,-43.28346,3.478885,human
641,-39.45066,-4.7177925,human
642,-44.59175,2.4255412,human
643,-50.09888,-15.300985,human
644,-39.455513,-4.8365273,human
645,-27.090092,21.649767,human
646,-35.11541,0.8641972,human
647,-48.81936,-15.419667,human
648,-48.59137,1.2764407,human
649,-31.179472,20.630732,human
650,-36.147472,9.062944,human
651,-49.092606,8.113747,human
652,-47.752346,9.726803,human
653,-59.94314,5.7559943,human
654,-31.234732,13.754371,human
655,-43.73029,4.6870265,human
656,-53.795925,5.917181,human
657,-59.640015,11.981584,human
658,-61.61226,8.406623,human
659,-25.06553,29.700138,human
660,-49.91061,-15.877081,human
661,-46.407593,6.687294,human
662,-34.44704,15.446469,human
663,-40.456062,-9.298059,human
664,-52.81304,-13.593901,human
665,-27.406006,15.203954,human
666,-49.027138,-14.375712,human
667,-33.14194,-0.20056595,human
668,-29.625364,6.6533847,human
669,-40.451344,14.095307,human
670,-43.27324,8.834926,human
671,-61.661278,8.157805,human
672,-52.769165,-14.010136,human
673,-35.32384,1.1594269,human
674,-55.31455,2.6193535,human
675,-47.19133,9.736498,human
676,-51.25275,24.676977,human
677,-55.79183,3.962845,human
678,-48.80272,8.322716,human
679,-35.497017,18.247173,human
680,-47.386326,9.50368,human
681,-41.607018,11.165286,human
682,-48.465965,0.046499245,human
683,-62.048843,6.0547523,human
684,-50.57069,15.999128,human
685,-36.390594,6.941296,human
686,-38.20801,2.6630938,human
687,-46.90418,-3.3807664,human
688,-29.324863,25.17982,human
689,-37.455982,10.82365,human
690,-48.454494,18.021742,human
691,-34.889038,5.885352,human
692,-58.40322,2.6293445,human
693,-44.748123,-2.3158379,human
694,-31.8873,3.737576,human
695,-32.977623,16.236225,human
696,-55.2382,11.641352,human
697,-60.682613,0.69900864,human
698,-35.539547,7.957564,human
699,-31.365398,20.702694,human
700,-23.986742,20.967667,human
701,-33.52142,6.2019286,human
702,-30.208775,10.284686,human
703,-39.496807,1.437551,human
704,-51.644924,-6.5611696,human
705,-33.31216,6.4494524,human
706,-49.007996,-3.6992548,human
707,-55.304344,-9.825071,human
708,-43.36179,-1.8787458,human
709,-50.540466,8.298959,human
710,-49.56652,-13.892223,human
711,-43.62892,-2.77798,human
712,-50.240032,11.984839,human
713,-32.082886,3.7751067,human
714,-41.316257,-2.904075,human
715,-48.038338,-11.154856,human
716,-36.495632,5.4672265,human
717,-41.618736,8.762757,human
718,-42.146065,6.9751315,human
719,-42.218952,-5.1001515,human
720,-23.765781,15.833562,human
721,-29.926554,3.3518815,human
722,-28.290937,0.36063734,human
723,-34.911087,5.576686,human
724,-24.092289,17.172907,human
725,-26.228752,18.164219,human
726,-50.896336,11.874696,human
727,-43.06767,5.432902,human
728,-27.943289,0.65878075,human
729,-36.516117,8.440422,human
730,-51.29021,-12.991408,human
731,-57.250698,15.422429,human
732,-56.697514,-3.6619194,human
733,-48.775597,-12.263773,human
734,-30.272686,2.1345851,human
735,-37.16776,2.8594751,human
736,-49.218533,8.809619,human
737,-41.995865,-3.7485006,human
738,-24.197475,21.8552,human
739,-39.671757,-11.014206,human
740,-39.38818,2.2924862,human
741,-28.885845,13.625006,human
742,-34.929367,1.7332988,human
743,-34.91345,1.8392724,human
744,-40.54023,14.396766,human
745,-39.359097,4.371457,human
746,-48.202076,-2.418536,human
747,-32.86876,6.2485147,human
748,-30.962543,14.441861,human
749,-43.71202,-5.4260707,human
750,-32.411854,-1.2478552,human
751,-26.687532,6.06652,human
752,-57.3248,6.9667754,human
753,-30.885418,14.112704,human
754,-23.087069,20.997944,human
755,-27.266321,21.133818,human
756,-57.36869,5.352561,human
757,-57.91597,0.07677133,human
758,-25.367342,18.523985,human
759,-45.72108,-0.6821315,human
760,-37.229904,13.54602,human
761,-51.242844,27.925234,human
762,-42.22379,-4.8763676,human
763,-25.714905,17.422974,human
764,-51.70274,11.50255,human
765,-42.006493,12.723347,human
766,-13.6932745,25.440315,human
767,-29.083973,15.157797,human
768,-52.9396,14.437701,human
769,-22.210766,21.663017,human
770,-48.937,8.090665,human
771,-47.918034,-2.1605794,human
772,-28.712687,21.588459,human
773,-44.583134,-15.73515,human
774,-56.63575,2.6664639,human
775,-43.378838,9.337104,human
776,-54.359802,-0.57183826,human
777,-45.75868,-16.187737,human
778,-53.595028,4.3987956,human
779,-42.112408,6.764531,human
780,-43.58587,0.20865181,human
781,-45.86302,-16.320038,human
782,-36.89146,9.726852,human
783,-32.319103,6.427755,human
784,-39.21433,4.351756,human
785,-24.706749,23.724388,human
786,-56.64252,0.82487875,human
787,-22.247114,22.77216,human
788,-57.2623,-3.1346688,human
789,-44.142147,-3.6121626,human
790,-22.085068,20.582945,human
791,-34.277214,9.614256,human
792,-46.380154,31.067032,human
793,-42.248882,2.1666148,human
794,-37.69418,4.832829,human
795,-42.76118,3.7964487,human
796,-47.064266,11.599565,human
797,-37.898205,13.834361,human
798,-50.37467,-12.513191,human
799,-57.14477,-2.8875725,human
800,-55.789783,-1.5901953,human
801,-24.637394,16.63582,human
802,-43.682217,-0.75295347,human
803,-34.292927,-1.8930603,human
804,-39.727947,-7.1274085,human
805,-48.381786,-20.39612,human
806,-53.60862,8.547627,human
807,-28.18934,7.413527,human
808,-43.51479,-7.4750338,human
809,-43.443504,18.827158,human
810,-45.224163,-1.4564052,human
811,-30.613493,3.6260571,human
812,-53.09015,13.236478,human
813,-16.562103,21.744297,human
814,-22.294369,16.250229,human
815,-52.084576,-7.2865567,human
816,-47.0327,-14.291921,human
817,-14.325722,24.869652,human
818,-47.63072,-0.56894594,human
819,-55.8491,3.7802982,human
820,-57.6475,-2.5300865,human
821,-56.57533,7.0447907,human
822,-25.740967,20.50855,human
823,-30.567131,4.4273796,human
824,-53.557613,1.491351,human
825,-32.262608,0.59840506,human
826,-23.973917,19.3379,human
827,-46.90067,-11.877859,human
828,-10.559518,18.398006,human
829,-60.74349,4.4396667,human
830,-30.526566,4.893151,human
831,-35.73771,6.9735923,human
832,-28.979492,27.675777,human
833,-39.745888,-3.7180533,human
834,-30.804663,16.784508,human
835,-53.329426,12.679997,human
836,-52.941177,10.231967,human
837,-51.734882,12.337212,human
838,-39.64031,11.471582,human
839,-44.979515,1.5661374,human
840,-61.702568,7.107922,human
841,-24.774652,17.618032,human
842,-17.22273,21.173838,human
843,-21.24051,41.167713,human
844,-60.89368,2.0696456,human
845,-43.93059,14.675409,human
846,-40.108128,3.8821287,human
847,-35.621162,4.738723,human
848,-40.14413,-10.237155,human
849,-55.099873,1.4560057,human
850,-60.09784,-1.9653616,human
851,-52.99228,-13.490663,human
852,-50.58952,-11.4763775,human
853,-52.488552,-6.073892,human
854,-44.847347,1.5586499,human
855,-23.727974,17.50081,human
856,-30.779596,3.3629494,human
857,-45.721706,-0.80210763,human
858,-38.54712,12.35507,human
859,-45.897186,-16.050207,human
860,-27.468985,6.0285506,human
861,-52.208878,9.915512,human
862,-47.470337,12.696343,human
863,-59.53079,1.0907516,human
864,-43.272705,-8.683141,human
865,-49.14206,8.818287,human
866,-47.234943,-12.724799,human
867,-45.6555,-16.21087,human
868,-56.36744,6.965662,human
869,-57.73229,2.7231715,human
870,-40.524628,-4.369112,human
871,-39.055126,8.963456,human
872,-13.968601,26.505543,human
873,-49.811157,-9.059798,human
874,-46.76589,-14.091676,human
875,-59.050983,-0.04852891,human
876,-57.116806,-2.8962724,human
877,-43.49193,-5.905869,human
878,-44.62039,-2.0703454,human
879,-52.00279,-12.760216,human
880,-51.84343,-15.387557,human
881,-47.777596,11.627797,human
882,-40.299084,2.8809986,human
883,-42.161198,5.975153,human
884,-26.571257,16.807333,human
885,-42.041615,16.293802,human
886,-31.957514,7.80149,human
887,-32.209225,10.760944,human
888,-41.917004,18.442556,human
889,-54.33045,-3.191337,human
890,-49.59007,-16.138687,human
891,-27.91589,-0.11418016,human
892,-47.483253,-3.0645251,human
893,-27.058563,16.618309,human
894,-20.162928,22.507368,human
