TSNE-1,TSNE-2,task_source
-5.2747355,-25.69028,human
-28.376848,-28.681456,human
1.4550614,-11.838062,human
-49.132645,-5.4831815,human
-19.221565,4.040013,human
-17.496758,20.324701,human
-40.56266,30.273495,human
-33.99925,30.722284,human
-17.464773,31.183006,human
-2.8829753,38.779392,human
-52.650707,-19.845074,human
-12.988426,-20.760199,human
-43.549946,-16.67457,human
-38.320312,19.788319,human
-29.284943,30.274021,human
-22.399527,30.750889,human
-21.646091,16.843212,human
-24.515663,-7.5757537,human
-36.279686,35.849148,human
-2.4027164,7.2081203,human
-18.799091,-12.395049,human
-25.81096,39.18159,human
-15.328154,-7.3114696,human
-44.454647,-21.518383,human
-22.346153,19.619467,human
-18.127602,39.009995,human
-16.783113,15.0407,human
-21.125902,31.503395,human
-38.18716,-21.935396,human
-17.887068,11.974836,human
-27.257664,1.5296079,human
-13.77961,-28.130287,human
-44.105083,-6.35523,human
-33.411243,-25.32422,human
-31.76197,7.583168,human
-43.37019,-32.018024,human
-33.427128,21.427135,human
-41.374115,29.343014,human
-30.242077,-30.546953,human
-18.985058,-9.034765,human
-18.008013,-25.301435,human
-17.834835,-30.12284,human
-40.248314,19.002636,human
-20.960022,7.8074927,human
2.3745492,-8.806367,human
-41.04903,-0.25699872,human
10.260254,9.41554,human
-26.971653,27.83376,human
-5.693994,19.417025,human
-5.8963394,0.46300533,human
-16.185125,7.3048496,human
-42.905384,35.73233,human
-6.143871,6.824164,human
-39.936348,-32.33955,human
-53.465405,-10.112693,human
-23.799276,35.312912,human
-40.318653,17.61599,human
-39.407215,-36.081665,human
-13.820371,-1.7219445,human
-25.124949,-14.750269,human
18.818283,-33.108337,human
-20.843418,2.8999605,human
-51.51022,-11.74087,human
-2.3116713,27.458733,human
-9.840593,-25.17953,human
-51.1489,10.299528,human
-23.060417,32.309532,human
3.3375704,14.413129,human
-14.410316,27.409096,human
-34.678967,-30.103075,human
-46.001293,13.718343,human
-34.181744,32.73649,human
-35.320175,-16.115927,human
-18.99271,5.8666873,human
-28.783161,-2.8760455,human
-22.163675,38.066402,human
6.4347305,-1.1558287,human
-34.57035,19.267347,human
-11.999024,-23.758104,human
-50.840866,-20.469875,human
-16.292608,-17.511124,human
-17.690493,-15.398581,human
-42.601536,29.403536,human
-11.0781,29.988321,human
-18.643026,-12.497848,human
-15.22662,41.99445,human
1.0166491,14.7179365,human
-0.72081524,-2.9570508,human
-33.20252,-16.77263,human
-37.421757,36.75461,human
-49.281036,-1.7142519,human
