unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
0.015,-0.067,0.002,-0.008,-0.034,-0.01,filter_206
0.003,0.212,-0.01,-0.01,0.01,0.07,filter_207
-0.059,-0.32,-0.08,-0.012,-0.036,-0.07,filter_208
-0.035,0.089,-0.052,0.04,-0.145,0.032,filter_209
0.044,-0.003,0.016,-0.013,0.023,-0.028,filter_210
-0.046,-0.049,-0.065,-0.012,0.022,0.026,filter_211
-0.014,0.019,0.015,-0.003,0.063,0.042,filter_212
0.03,-0.098,-0.013,-0.027,-0.1,-0.06,filter_213
-0.002,0.115,-0.005,-0.009,-0.103,0.047,filter_214
-0.022,-0.035,-0.035,0.005,0.107,0.014,filter_215
0.088,0.26,0.048,0.01,0.061,0.062,filter_216
0.114,0.25,0.078,0.016,-0.078,0.071,filter_217
0.08,0.139,0.065,0.059,0.007,0.082,filter_218
-0.204,-0.333,-0.199,-0.041,0.019,-0.074,filter_219
0.093,0.221,0.08,0.043,0.088,0.07,filter_220
0.003,-0.155,-0.003,-0.036,-0.048,-0.046,filter_221
0.049,0.128,0.021,0.008,0.007,0.014,filter_222
-0.04,0.243,-0.048,-0.025,-0.138,0.077,filter_223
-0.36,-0.365,-0.359,-0.079,-0.059,-0.096,filter_224
0.03,0.17,-0.0,0.056,0.031,0.087,filter_225
0.021,0.206,-0.009,-0.01,0.061,0.027,filter_226
-0.125,-0.061,-0.137,-0.022,-0.188,-0.025,filter_227
0.077,0.216,0.057,-0.027,-0.118,0.033,filter_228
0.019,-0.082,0.005,-0.003,0.067,-0.008,filter_229
0.051,0.025,0.021,0.01,-0.04,0.044,filter_230
-0.381,-0.113,-0.359,-0.077,-0.083,-0.025,filter_231
-0.562,-0.417,-0.512,-0.146,-0.209,-0.143,filter_232
-0.024,-0.19,0.0,-0.037,0.081,-0.055,filter_233
-0.095,-0.135,-0.074,-0.022,-0.152,0.004,filter_234
-0.413,-0.202,-0.394,-0.097,-0.097,-0.038,filter_235
-0.317,-0.331,-0.297,-0.107,-0.015,-0.104,filter_236
0.069,0.012,0.066,-0.014,0.03,0.037,filter_237
0.062,-0.04,0.032,0.047,-0.116,0.019,filter_238
0.014,0.23,0.012,0.029,-0.064,0.125,filter_239
-0.008,0.051,-0.002,-0.009,-0.011,0.014,filter_240
-0.099,-0.183,-0.125,-0.023,-0.049,-0.022,filter_241
0.031,0.078,-0.015,0.015,-0.204,0.069,filter_242
0.034,0.054,0.05,0.025,0.11,0.033,filter_243
0.086,0.31,0.05,0.032,-0.028,0.101,filter_244
-0.037,0.166,-0.032,-0.024,0.078,0.03,filter_245
0.078,0.242,0.07,0.022,0.036,0.119,filter_246
0.099,0.137,0.076,0.066,-0.018,0.131,filter_247
-0.095,0.016,-0.1,-0.052,-0.009,0.031,filter_248
-0.114,-0.302,-0.107,-0.061,-0.055,-0.077,filter_249
0.076,0.246,0.066,0.017,-0.109,0.079,filter_250
0.074,0.229,0.073,-0.006,0.089,0.103,filter_251
0.009,0.217,0.006,0.012,0.027,0.072,filter_252
-0.17,-0.181,-0.189,-0.066,-0.082,-0.064,filter_253
-0.022,-0.257,-0.039,-0.065,0.071,-0.111,filter_254
-0.035,-0.076,-0.055,-0.019,-0.042,-0.031,filter_255
