unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
0.07,-0.047,-0.0,-0.027,-0.033,-0.021,filter_157
0.035,0.249,-0.009,0.012,-0.001,0.089,filter_158
0.011,-0.065,-0.004,-0.002,0.043,-0.01,filter_159
0.086,0.141,0.057,-0.021,0.047,0.014,filter_160
0.034,-0.059,-0.006,0.028,-0.069,0.006,filter_161
-0.283,-0.327,-0.285,-0.074,0.007,-0.088,filter_162
-0.224,-0.313,-0.262,-0.079,-0.088,-0.115,filter_163
-0.401,-0.315,-0.405,-0.088,-0.074,-0.073,filter_164
-0.012,0.091,-0.045,-0.017,0.042,0.029,filter_165
0.106,0.11,0.055,0.02,0.026,0.073,filter_166
0.023,-0.006,0.013,0.006,-0.031,0.028,filter_167
0.037,-0.168,-0.043,-0.027,-0.096,-0.049,filter_168
0.074,0.186,0.031,-0.002,0.032,0.045,filter_169
-0.078,0.018,-0.072,0.028,-0.054,0.033,filter_170
0.042,0.225,-0.005,0.024,-0.045,0.096,filter_171
-0.36,-0.327,-0.372,-0.143,-0.02,-0.171,filter_172
0.004,0.221,-0.009,0.016,-0.094,0.057,filter_173
-0.01,0.156,0.0,-0.018,-0.02,0.024,filter_174
-0.125,-0.145,-0.142,-0.021,-0.01,-0.017,filter_175
-0.064,0.104,-0.086,0.021,0.02,0.037,filter_176
0.053,0.077,0.014,-0.003,0.074,0.019,filter_177
-0.043,0.048,-0.036,0.038,-0.149,0.032,filter_178
-0.016,0.055,-0.043,-0.029,-0.06,0.02,filter_179
-0.083,0.17,-0.083,-0.013,-0.042,0.059,filter_180
-0.288,-0.395,-0.289,-0.094,-0.03,-0.173,filter_181
-0.067,-0.063,-0.088,-0.01,-0.089,-0.03,filter_182
-0.063,-0.008,-0.071,-0.042,-0.032,-0.028,filter_183
0.078,0.272,0.039,0.051,-0.056,0.116,filter_184
0.006,-0.115,-0.002,-0.081,-0.096,-0.099,filter_185
-0.133,-0.03,-0.167,0.013,-0.065,0.047,filter_186
-0.015,-0.194,-0.02,-0.038,0.044,-0.084,filter_187
-0.303,-0.202,-0.304,-0.052,-0.022,-0.035,filter_188
0.063,0.008,0.04,0.006,-0.004,0.023,filter_189
-0.266,-0.362,-0.282,-0.097,-0.11,-0.133,filter_190
0.025,0.245,-0.003,-0.022,-0.096,0.059,filter_191
-0.359,-0.432,-0.365,-0.073,-0.173,-0.099,filter_192
-0.427,-0.451,-0.426,-0.092,-0.122,-0.103,filter_193
-0.306,-0.417,-0.32,-0.093,-0.028,-0.139,filter_194
0.055,0.1,0.005,0.019,0.034,0.04,filter_195
-0.262,-0.138,-0.261,-0.072,-0.048,-0.069,filter_196
-0.072,-0.283,-0.081,-0.044,-0.037,-0.103,filter_197
0.011,0.036,-0.008,-0.025,0.007,0.009,filter_198
0.0,0.081,-0.039,-0.003,-0.086,0.037,filter_199
-0.011,0.02,-0.022,-0.005,-0.092,-0.025,filter_200
0.022,-0.004,-0.049,0.003,-0.081,0.033,filter_201
0.003,0.205,-0.019,-0.001,-0.032,0.055,filter_202
0.031,0.103,0.024,0.005,-0.035,0.01,filter_203
-0.086,-0.14,-0.113,0.007,-0.074,-0.005,filter_204
-0.171,-0.042,-0.192,-0.006,-0.036,-0.004,filter_205
-0.126,0.151,-0.109,-0.001,-0.072,0.063,filter_206
0.024,-0.123,0.017,-0.01,0.036,-0.026,filter_207
-0.052,0.102,-0.079,-0.006,-0.081,0.054,filter_208
-0.419,-0.369,-0.4,-0.044,-0.083,-0.068,filter_209
-0.078,-0.009,-0.096,-0.049,-0.004,-0.035,filter_210
-0.252,-0.269,-0.25,-0.056,-0.028,-0.086,filter_211
-0.005,0.202,-0.014,0.012,-0.081,0.072,filter_212
-0.005,-0.123,-0.033,-0.019,0.064,-0.029,filter_213
0.119,0.193,0.062,0.025,0.003,0.067,filter_214
-0.179,-0.197,-0.183,-0.044,0.055,-0.045,filter_215
0.012,-0.075,-0.003,0.016,0.053,-0.027,filter_216
0.108,0.307,0.045,0.049,-0.059,0.111,filter_217
0.06,0.294,0.028,0.006,-0.089,0.096,filter_218
-0.024,0.091,-0.084,0.022,-0.053,0.06,filter_219
-0.238,-0.236,-0.248,-0.061,0.057,-0.073,filter_220
-0.214,-0.212,-0.228,-0.05,-0.028,-0.015,filter_221
-0.345,-0.347,-0.362,-0.105,-0.019,-0.127,filter_222
0.072,0.33,0.011,-0.002,-0.095,0.063,filter_223
-0.185,-0.383,-0.179,-0.045,-0.034,-0.129,filter_224
0.025,0.07,0.004,0.027,0.005,0.033,filter_225
0.01,0.035,-0.04,-0.02,-0.045,0.011,filter_226
-0.032,-0.013,-0.067,-0.001,-0.024,0.023,filter_227
0.055,0.206,-0.01,0.003,0.046,0.052,filter_228
-0.017,-0.155,-0.041,-0.013,-0.042,-0.041,filter_229
-0.032,0.265,-0.045,0.006,-0.074,0.087,filter_230
0.019,-0.058,0.009,0.001,-0.092,0.001,filter_231
-0.018,-0.054,-0.077,-0.019,-0.098,0.009,filter_232
0.045,0.034,0.042,0.003,0.038,-0.029,filter_233
-0.618,-0.444,-0.569,-0.141,-0.105,-0.117,filter_234
-0.024,-0.294,-0.086,-0.055,-0.067,-0.115,filter_235
-0.034,-0.225,-0.032,-0.033,0.057,-0.126,filter_236
0.042,0.306,0.015,0.05,-0.04,0.126,filter_237
-0.109,-0.217,-0.115,-0.006,-0.052,-0.062,filter_238
-0.198,-0.366,-0.188,-0.067,0.099,-0.111,filter_239
-0.04,-0.016,-0.083,-0.032,-0.111,0.007,filter_240
0.031,0.122,-0.012,0.008,-0.082,0.072,filter_241
0.028,0.107,0.024,-0.01,0.003,0.068,filter_242
0.011,-0.23,0.011,-0.045,0.084,-0.081,filter_243
0.049,0.046,0.052,0.004,0.021,0.053,filter_244
0.003,0.057,-0.013,0.008,-0.092,0.013,filter_245
-0.181,-0.171,-0.188,-0.031,-0.093,-0.052,filter_246
-0.056,-0.012,-0.037,-0.036,0.052,-0.037,filter_247
-0.337,-0.346,-0.343,-0.077,-0.166,-0.071,filter_248
-0.002,0.175,-0.023,0.014,-0.041,0.058,filter_249
0.105,0.212,0.067,0.02,-0.033,0.048,filter_250
-0.344,-0.28,-0.287,-0.088,-0.027,-0.098,filter_251
-0.036,0.07,-0.06,0.029,-0.178,0.009,filter_252
-0.235,-0.36,-0.259,-0.045,-0.04,-0.075,filter_253
0.026,0.047,0.006,-0.007,-0.07,0.007,filter_254
0.033,0.258,0.016,0.017,-0.023,0.104,filter_255
