unmod1,human,vleng,Andrev2015,muscle,pc3
0.18913119,0.14036551,0.15173109,0.08009958,-0.032433875,-0.17143011
-0.09107758,-0.11894284,-0.079891965,0.09398754,-0.060087454,0.11601004
0.12761448,0.14487305,0.124079525,-0.14390497,-0.024334766,0.1744424
-0.029013978,-0.07830788,-0.033965606,-0.026985986,-0.20738605,0.4469507
0.00048401675,-0.022197017,0.071571544,0.07138908,0.044869516,0.27736908
-0.5739297,-0.41212878,-0.49568835,0.06654226,-0.11025417,-0.20937435
-0.025994876,0.012596996,-0.016949277,0.07501697,-0.059575077,0.1300731
0.16362591,0.18830481,0.10615441,-0.12475254,0.0071891076,0.17112827
0.05435532,0.07818256,0.016729595,0.03197834,-0.10848737,0.12685478
-0.055651058,-0.09533482,-0.04924522,0.1198871,0.043631542,0.17167942
-0.16982569,-0.11963624,-0.13504961,-0.11318762,-0.07849393,-0.09264658
0.14500855,0.14799504,0.014785211,-0.29418722,-0.12787226,-0.2913576
-0.08593332,-0.02525133,-0.015896095,-0.013295613,-0.23631097,0.08945981
-0.061232083,-0.07524663,-0.023619862,0.13324432,-0.30915073,0.4047818
0.1081367,0.064658545,0.1279122,0.012784007,-0.44682556,0.25920907
-0.015799614,-0.1847077,-0.053373367,-0.025567604,-0.39932406,0.06630059
-0.43669397,-0.36393705,-0.33122414,0.012935052,-0.15688428,0.12954295
-0.02964695,-0.05685598,-0.028500127,-0.098349236,0.00970106,-0.022839813
-0.30814168,-0.45318517,-0.34590623,-0.074808344,0.08134328,0.047843557
0.10522902,0.27284175,0.04577822,0.3157033,0.08127198,-0.08929289
0.09122934,0.047366466,0.06729035,-0.062253095,0.022513928,-0.05739627
0.043559883,0.028976392,-0.032744616,0.029167216,0.067888886,-0.0063305474
0.052118942,0.056289595,0.06604429,0.13527781,-0.0069368253,-0.00475758
0.06872782,0.1732705,0.01574098,0.05309698,0.30678862,-0.12700258
-0.4486747,-0.3611211,-0.31094787,-0.201799,0.08410308,-0.32711038
-0.04516584,-0.16869788,0.0026520416,0.115024,0.16686352,0.06806693
-0.11808958,-0.2087189,-0.063023865,-0.20838924,0.1255534,-0.13740012
0.0766987,0.12542953,-0.04350418,0.12761168,0.22867389,0.4125388
0.082167245,0.1392659,0.07514222,-0.24974969,-0.07357036,-0.22124498
0.21120593,0.22510472,0.1160709,0.0522716,0.3730699,0.004778705
-0.12145633,-0.08239851,-0.16683412,0.051880877,0.128656,-0.1268687
-0.0030961526,0.036969572,0.0027297912,-0.04959894,0.23622407,0.08790191
0.16392083,0.3455374,0.11283144,0.08545494,0.004332906,0.008007008
0.043316,0.08199074,0.035076637,-0.20468554,0.008539356,-0.17515726
0.26228914,0.22062038,0.17454736,-0.21007462,0.069535114,-0.12111297
0.14921688,0.19495836,0.16521,0.08170864,-0.04538168,0.18833408
-0.0005388126,-0.046055514,-0.005114427,0.12680188,0.0035188862,0.11359144
-0.28140384,-0.23359166,-0.1800259,0.021701964,0.1292583,-0.16968086
0.02910505,-0.080585465,-0.022263544,-0.086030915,0.0030009951,-0.12480217
-0.062965065,-0.09751879,-0.048011184,-0.035700098,-0.14116894,-0.05489216
-0.034443256,-0.051057324,-0.013723126,0.10632076,-0.087131254,0.21315996
0.03323029,0.035237618,0.012296612,-0.16124372,0.021428311,-0.11971831
-0.019873783,0.13089845,-0.1415876,-0.35635236,-0.2802419,-0.18563624
-0.19979309,-0.16049086,0.08378024,0.19474562,-0.024474025,0.22143513
0.11664423,0.07032111,0.1450051,0.062653095,0.017237768,-0.025386186
-0.039137643,-0.082810156,-0.046042427,0.26865134,0.012036471,-0.09785724
-0.4829264,-0.2824073,-0.31085885,0.060947083,-0.01990995,-0.013958888
-0.10770894,-0.03348638,-0.05544632,-0.19400443,0.026467035,-0.008086013
0.19163705,0.011286798,0.11371908,0.1327977,-0.054638356,0.17580894
-0.093065485,-0.14849661,-0.036149383,-0.0011951947,-0.03354974,-0.15454355
-0.07247965,-0.022435145,-0.02524324,-0.06787312,-0.006073352,-0.08260043
-0.3511232,-0.23863767,-0.27557018,0.54760766,0.10023227,0.54168195
0.039855864,-0.09535944,0.04022118,-0.14559178,-0.2141607,-0.4058201
-0.010889132,-0.06791284,0.05168656,0.103499986,0.028790077,-0.08933152
0.09383133,0.1437261,0.0072193006,-0.16318801,-0.15581289,-0.06594813
-0.052949943,0.015148928,-0.006212567,0.104395084,0.09160245,0.008047055
-0.060195975,-0.0012033737,-0.09762964,-0.043225527,0.27276012,-0.23226714
-0.21025766,-0.20029429,-0.09630362,0.0002893921,0.122401156,0.006091406
0.27960408,0.2827947,0.14230397,0.075573646,-0.064400636,-0.009555238
-0.23471366,-0.018161675,-0.21616223,-0.20169522,0.025128996,-0.07177425
-0.053512048,-0.02001603,0.021205248,0.06495578,-0.14376132,-0.12466541
0.20961432,-0.028879011,0.22017504,0.021626623,-0.10220319,0.17432182
0.04111937,0.06518828,0.0071659326,-0.054897066,0.019676512,0.12749957
0.011092152,0.040363826,0.12753695,0.10145667,0.0063907052,0.090482
-0.53442144,-0.37603897,-0.46581092,0.30425012,0.027324447,-0.06718152
0.082098566,0.13671073,0.020512845,-0.18955271,-0.107584,-0.02057239
0.11175694,0.19668312,0.07625758,0.05571261,0.03615804,-0.04274061
-0.017985238,-0.039959423,-0.035017002,0.07779817,0.042251337,0.08185684
-0.038069468,0.023708042,0.05107194,-0.054314293,0.13799892,-0.23448524
